director_id,revenue,name,id,gender,uid,department
4762,4632999275,James Cameron,4762,2,2710,Directing
4769,2924961604,Joss Whedon,4769,2,12891,Directing
4777,2464419788,Peter Jackson,4777,2,108,Directing
4767,2166506515,Sam Raimi,4767,2,7623,Directing
4763,2115949722,Gore Verbinski,4763,2,1704,Directing
4764,1989235622,Sam Mendes,4764,2,39,Directing
4788,1927702325,Michael Bay,4788,2,865,Directing
4783,1513528810,Colin Trevorrow,4783,2,930707,Directing
4794,1506249360,James Wan,4794,2,2127,Directing
4784,1215439994,Shane Black,4784,2,1108,Directing
